id,text,query,username,permalink,timestamp,media_type,relevance_score,relevance_tier,matched_terms,source_queries,retrieval_sources,searched_at,first_seen_at,last_seen_at,seen_count
3993954685202562512,"STAY! Happiest of problems!

I have an extra ticket for Run It Tokyo Dome on Nov 6, Friday. Any takers?

Selling it for actual value. (Roughly 17,700 JPY?) I just need to put the ticket to good use since it’s already paid for.

Prio if you’re a Filo Stay but I can do international payments as well. :)",Tokyo Dome,a0kayed,https://www.threads.com/@a0kayed/post/DdtYKAUgX3Q,2026-09-25T11:42:02Z,CAROUSEL_ALBUM,100,high,"[""tokyo"",""dome""]","[""Tokyo Dome""]",[],2026-09-25T19:36:04.657866612Z,2026-09-25T19:36:57.674661Z,2026-09-25T19:36:57.674661Z,1
3994144347795833999,Booked all my flights for Japan but now I'm not sure where I should stay in Tokyo. If anybody has any suggestions please let me know. Would be best if it's not more than 40 minutes away from Tokyo Dome,Tokyo Dome,nabzielolly,https://www.threads.com/@nabzielolly/post/DduDR9YAUSP,2026-09-25T17:58:51Z,TEXT_POST,100,high,"[""tokyo"",""dome""]","[""Tokyo Dome""]",[],2026-09-25T19:36:04.657876327Z,2026-09-25T19:36:57.674661Z,2026-09-25T19:36:57.674661Z,1
3973434414776747220,"7月的时候
他问我能不能来台北大巨蛋
我沉默了
他以为我不想去",台北大巨蛋,ailsaaiaio,https://www.threads.com/@ailsaaiaio/post/DckeYxPFITU,2026-08-28T04:11:55Z,TEXT_POST,60,high,"[""台北大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T17:20:47.606500052Z,2026-09-25T17:12:33.435185Z,2026-09-25T17:21:46.255167Z,2
3975804311056791545,"讓票 9/2 （三）B1 內野 120區 2排 （2連號）
聯名卡優惠票🎫 （請私訊 非搶先得）

#台北大巨蛋",台北大巨蛋,rex_lin005,https://www.threads.com/@rex_lin005/post/Dcs5PTJAbf5,2026-08-31T10:40:29Z,IMAGE,60,high,"[""台北大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261379553Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3979243303644703461,"您好！我們是從韓國來台灣旅遊的旅客，今天5號很想去台北大巨蛋看富邦悍將的棒球比賽。

因為想和奶奶、媽媽一起觀賽，所以需要三張票。可是我們去便利商店詢問時，被告知門票已經售罄了🥹

請問有沒有願意讓票的人呢？如果有的話，真的非常感謝您願意聯絡我！🙏🏻😭",台北大巨蛋,0hmymrk,https://www.threads.com/@0hmymrk/post/Dc5HLOkmCrl,2026-09-05T04:33:08Z,TEXT_POST,60,high,"[""台北大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261452499Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3984541669939808265,"LPUers 站出來！🖤💛
LINKIN PARK: WARM-UP NIGHT

電影上映前，先來一場屬於我們的暖身夜。
熟悉的旋律響起、重拍一擊即中，
帶我們一瞬間回到那些陪著彼此走過的歲月。

In the End, it DOES matter.
這一次，不需要門票，沒有距離。
只要你還愛著 LINKIN PARK，想聽歌、想聚在一起，就直接來！

📅 日期：9/18（五）20:00
📍 地點：台北大巨蛋秀泰影城 2F 大廳

在《LINKIN PARK: UNSHATTER》大銀幕登場前，
我們一起先把氣氛炸開！🔥
See you there. Let‘s make some noise! 🤘💥

p.s. 現場還準備了鐵粉挑戰，就等你把神秘獎勵贏回家💿",台北大巨蛋,stglobalent,https://www.threads.com/@stglobalent/post/DdL74mtgQgJ,2026-09-12T12:00:03Z,IMAGE,60,high,"[""台北大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261488456Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3984619151872512604,"米其林一星 A CUT，開了新店！
就在台北大巨蛋。
9/10 開幕的The Grill by A CUT",台北大巨蛋,sophiahsiao,https://www.threads.com/@sophiahsiao/post/DdMNgHYlFJc,2026-09-12T14:33:59Z,CAROUSEL_ALBUM,60,high,"[""台北大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261374112Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3986447006957229759,"🚐【Stray Kids World Tour ＜RUN IT TAIPEI＞包車報名中！】

怎麼可以只來一天啊迷孩們😭希望STAY們都有上岸～上岸後交通我們幫您解決🧭

📅日期：2026/ 12 / 12
—————————
📍 南部出發
高雄火車站／台南火車站 ⇆ 台北大巨蛋

▫️來回接送｜每人 NT$1,500
▫️單程接送｜每人 NT$1,000

📍台中上車點
台中朝馬／台中火車站 ⇆ 台北大巨蛋

▫️來回接送｜每人 NT$1,150
▫️去程接送｜每人 NT$550
▫️回程接送｜每人 NT$750

—————————
💪🏻皆有投保高額意外險￼
👉人滿即發車！名額有限！",台北大巨蛋,cchinnnjm,https://www.threads.com/@cchinnnjm/post/DdStG6Fmta_,2026-09-15T03:05:37Z,IMAGE,60,high,"[""台北大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261445045Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3987368720226075079,"紐約 Tom Cat Bakery 真的來台北了🐈‍⬛🥐

今天來大巨蛋，看到這隻黑貓才發現
原來 TOM CAT BAKERY 已經開了！

這家是從紐約來的老牌烘焙品牌，
現場麵包種類不少，鹽奶油、可頌、紅豆、法國麵包都有，
整櫃看起來真的會讓人選擇障礙 😂

而且剛好 9/16 起有開幕活動：

👉 櫃上單筆消費滿 300 元
👉 就送一個 「極光銀」品牌購物袋
👉 數量有限，送完為止

我本來只是想來看看，
看到那個銀色袋子……
好啦，300 好像突然也沒那麼難湊了🤣
雖然袋子簡單但蠻有質感的。

📍TOM CAT BAKERY
台北大巨蛋 Garden City

有人已經吃過了嗎？
哪一款最值得買？先告訴我，不然我等等可能亂拿一輪。😂

#TomCatBakery #台北大巨蛋 #大巨蛋美食 #台北麵包 #台北美食 #開幕活動 #信義區美食",台北大巨蛋,cashaw_deng,https://www.threads.com/@cashaw_deng/post/DdV-rmdlEHH,2026-09-16T09:36:54Z,CAROUSEL_ALBUM,60,high,"[""台北大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261401754Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3987498130317307561,"OMG～～～🥹💛
我終於把全部的歌單都完成啦▓!!!

BIGBANG 2026–2027 WORLD TOUR 〈XX : COSMOS〉

▓＼ 應援歌單・最終篇／▓

各位 VIP 們～YAHO！呀吼～～🙌🏻
剩不到一個月 就快要看到歐～ㄅ們了呦！！！

好開勳～～應援歌單終於全數完成✨
請大家把握時機練習▓

到時候一起嗨翻大巨蛋 哭花眼妝吧▓
讓歐～ㄅ！們感受到我們的愛▓",大巨蛋,small.ashan,https://www.threads.com/@small.ashan/post/DdWcGxAGO6p,2026-09-16T13:54:00Z,CAROUSEL_ALBUM,60,high,"[""大巨蛋""]","[""大巨蛋""]",[],2026-09-25T18:02:27.298530179Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
